优先级,运算符,名称或含义,使用形式,结合方向,direction,,说明,n,,,,,,
1,[],数组下标,数组名[常量表达式],左到右,1,1,,-,,,,,,
,(),圆括号,（表达式）/函数名(形参表),,1,1,,-,,,,,,
,.,成员选择（对象）,对象.成员名,,1,1,,2,,,,,,
,->,成员选择（指针）,对象指针->成员名,,1,1,,2,,,-1,优先级大,优先级大的先走,
,++,后置自增运算符,++变量名,,1,1,单目运算符,1,,,-1,左结合,前面的先走,和那个一样
,--,后置自减运算符,--变量名,,1,1,单目运算符,1,,,,,,
2,-,负号运算符,-表达式,右到左,2,-1,单目运算符,1,,,,,,
,(类型),强制类型转换,(数据类型)表达式,,2,-1,,1,,,,,,
,++,前置自增运算符,变量名++,,2,-1,单目运算符,1,,,,,,
,--,前置自减运算符,变量名--,,2,-1,单目运算符,1,,,,,,
,*,取值运算符,*指针变量,,2,-1,单目运算符,1,,,,,,
,&,取地址运算符,&变量名,,2,-1,单目运算符,1,,,,,,
,!,逻辑非运算符,!表达式,,2,-1,单目运算符,1,,,,,,
,~,按位取反运算符,~表达式,,2,-1,单目运算符,1,,,,,,
,sizeof,长度运算符,sizeof(表达式),,2,-1,,1,,,,,,
3,/,除,表达式/表达式,左到右,1,1,双目运算符,2,,,,,,
,*,乘,表达式*表达式,,1,1,双目运算符,2,,,,,,
,%,余数（取模）,整型表达式/整型表达式,,1,1,双目运算符,2,,,,,,
4,+,加,表达式+表达式,左到右,1,1,双目运算符,2,,,,,,
,-,减,表达式-表达式,,1,1,双目运算符,2,,,,,,
5,<<,左移,变量<<表达式,左到右,1,1,双目运算符,2,,,,,,
,>>,右移,变量>>表达式,,1,1,双目运算符,2,,,,,,
6,>,大于,表达式>表达式,左到右,1,1,双目运算符,2,,,,,,
,>=,大于等于,表达式>=表达式,,1,1,双目运算符,2,,,,,,
,<,小于,表达式<表达式,,1,1,双目运算符,2,,,,,,
,<=,小于等于,表达式<=表达式,,1,1,双目运算符,2,,,,,,
7,错误:520,等于,表达式==表达式,左到右,1,1,双目运算符,2,,,,,,
,!=,不等于,表达式!= 表达式,,1,1,双目运算符,2,,,,,,
8,&,按位与,表达式&表达式,左到右,1,1,双目运算符,2,,,,,,
9,^,按位异或,表达式^表达式,左到右,1,1,双目运算符,2,,,,,,
10,|,按位或,表达式|表达式,左到右,1,1,双目运算符,2,,,,,,
11,&&,逻辑与,表达式&&表达式,左到右,1,1,双目运算符,2,,,,,,
12,||,逻辑或,表达式||表达式,左到右,1,1,双目运算符,2,,,,,,
13,?:,条件运算符,表达式1? 表达式2: 表达式3,右到左,2,-1,三目运算符,3,,,,,,
14,=,赋值运算符,变量=表达式,右到左,2,-1,,2,,,,,,
,/=,除后赋值,变量/=表达式,,2,-1,,2,,,,,,
,*=,乘后赋值,变量*=表达式,,2,-1,,2,,,,,,
,%=,取模后赋值,变量%=表达式,,2,-1,,2,,,,,,
,+=,加后赋值,变量+=表达式,,2,-1,,2,,,,,,
,-=,减后赋值,变量-=表达式,,2,-1,,2,,,,,,
,<<=,左移后赋值,变量<<=表达式,,2,-1,,2,,,,,,
,>>=,右移后赋值,变量>>=表达式,,2,-1,,2,,,,,,
,&=,按位与后赋值,变量&=表达式,,2,-1,,2,,,,,,
,^=,按位异或后赋值,变量^=表达式,,2,-1,,2,,,,,,
,|=,按位或后赋值,变量|=表达式,,2,-1,,2,,,,,,
15,",",逗号运算符,"表达式,表达式,…",左到右,1,1,从左向右顺序运算,2,,,,,,
